tractid,tracta,countya,statea,pop19,incpc19
36005019500,Census Tract 195, Bronx County, New York,7060,16084
36005022902,Census Tract 229.02, Bronx County, New York,3614,13742
36005023302,Census Tract 233.02, Bronx County, New York,3706,14294
36005024400,Census Tract 244, Bronx County, New York,2146,29302
36005026900,Census Tract 269, Bronx County, New York,3703,19944
36005027300,Census Tract 273, Bronx County, New York,7778,20528
36005029500,Census Tract 295, Bronx County, New York,4564,63727
36005029700,Census Tract 297, Bronx County, New York,3799,51450
36005031000,Census Tract 310, Bronx County, New York,4753,26397
36005031600,Census Tract 316, Bronx County, New York,1900,34267
36005031800,Census Tract 318, Bronx County, New York,2179,35665
36005032300,Census Tract 323, Bronx County, New York,4575,56125
36005032400,Census Tract 324, Bronx County, New York,3177,15843
36005033400,Census Tract 334, Bronx County, New York,15,21600
36005036300,Census Tract 363, Bronx County, New York,7517,13541
36005036902,Census Tract 369.02, Bronx County, New York,2074,11702
36005037300,Census Tract 373, Bronx County, New York,6373,15032
36005037800,Census Tract 378, Bronx County, New York,2900,22949
36005037900,Census Tract 379, Bronx County, New York,5469,13674
36005038700,Census Tract 387, Bronx County, New York,3823,18214
36005039600,Census Tract 396, Bronx County, New York,5022,18024
36005040100,Census Tract 401, Bronx County, New York,4478,18232
36005040600,Census Tract 406, Bronx County, New York,3547,22271
36047030300,Census Tract 303, Kings County, New York,4914,23747
36047031500,Census Tract 315, Kings County, New York,4970,42032
36061001001,Census Tract 10.01, New York County, New York,1546,66125
36061000700,Census Tract 7, New York County, New York,8501,111077
36061010300,Census Tract 103, New York County, New York,2065,85167
36047062600,Census Tract 626, Kings County, New York,2869,24670
36005016700,Census Tract 167, Bronx County, New York,3695,16138
36005022401,Census Tract 224.01, Bronx County, New York,2498,33194
36005002800,Census Tract 28, Bronx County, New York,5151,26028
36005007900,Census Tract 79, Bronx County, New York,7188,13895
36005015800,Census Tract 158, Bronx County, New York,1314,29910
36047034100,Census Tract 341, Kings County, New York,3056,38840
36047035300,Census Tract 353, Kings County, New York,5407,25110
36047064600,Census Tract 646, Kings County, New York,2190,34674
36047065400,Census Tract 654, Kings County, New York,1437,44639
